FIPS,NAME,db_temp,Month
206520,Bethel city,-4.7237531818327625,01
206520,Bethel city,-4.985218535876619,01
206520,Bethel city,-5.275801561699488,01
206520,Bethel city,-5.658045133997135,01
206520,Bethel city,-5.990934778432454,01
206520,Bethel city,-6.437642331983241,01
206520,Bethel city,-6.675231133132733,01
206520,Bethel city,-5.719006447713916,01
206520,Bethel city,-5.398223626809035,01
206520,Bethel city,-5.076362985079385,01
206520,Bethel city,-4.851976838659041,01
206520,Bethel city,-4.6773675637167145,01
206520,Bethel city,-4.593497454533768,01
206520,Bethel city,-4.606251500864509,01
206520,Bethel city,-4.7665985107422415,01
206520,Bethel city,-4.765026105036412,01
206520,Bethel city,-4.574951672163159,01
206520,Bethel city,-4.368517065829927,01
206520,Bethel city,-4.121520345719141,01
206520,Bethel city,-3.278008282770905,01
206520,Bethel city,-2.963447545786302,01
206520,Bethel city,-2.539002115218338,01
206520,Bethel city,-2.0865667124263894,01
206520,Bethel city,-1.8451209896900522,01
206520,Bethel city,-1.985773105308624,01
206520,Bethel city,-2.4935979123975827,01
206520,Bethel city,-3.1243317650966773,01
206520,Bethel city,-3.547410758596932,01
206520,Bethel city,-4.008355662861753,01
206520,Bethel city,-4.593376534884179,01
206520,Bethel city,-5.215025004402484,01
206520,Bethel city,-5.836137965468112,01
206520,Bethel city,-6.110900228531612,01
206520,Bethel city,-6.404498040871502,01
206520,Bethel city,-6.7623255495165395,01
206520,Bethel city,-7.11861197049501,01
206520,Bethel city,-7.622260021772512,01
206520,Bethel city,-8.304635670146006,01
206520,Bethel city,-9.069463510982303,01
206520,Bethel city,-9.752260602106759,01
206520,Bethel city,-10.226639094118177,01
206520,Bethel city,-10.548657176533752,01
206520,Bethel city,-10.785112774958371,01
206520,Bethel city,-9.725485579693888,01
206520,Bethel city,-9.734885343958169,01
206520,Bethel city,-9.525402031570145,01
206520,Bethel city,-9.054994276703404,01
206520,Bethel city,-8.671092899510136,01
206520,Bethel city,-8.451345074763083,01
206520,Bethel city,-8.483970567046569,01
206520,Bethel city,-8.687330702484608,01
206520,Bethel city,-8.678392504082318,01
206520,Bethel city,-8.56662547627436,01
206520,Bethel city,-8.42501555896201,01
206520,Bethel city,-8.345738245229228,01
206520,Bethel city,-7.507950329389772,01
206520,Bethel city,-7.3108959260533695,01
206520,Bethel city,-7.0596587634477,01
206520,Bethel city,-6.79059648357449,01
206520,Bethel city,-6.48520422763503,01
206520,Bethel city,-6.07884956735073,01
206520,Bethel city,-5.594475417840698,01
206520,Bethel city,-5.132435732982174,01
206520,Bethel city,-4.748881956006649,01
206520,Bethel city,-4.463146422339321,01
206520,Bethel city,-4.30179393330566,01
206520,Bethel city,-4.278746658075079,01
206520,Bethel city,-4.69671680888198,01
206520,Bethel city,-5.122819794201476,01
206520,Bethel city,-5.638861384157217,01
206520,Bethel city,-5.946426241515049,01
206520,Bethel city,-6.1813251432825,01
206520,Bethel city,-6.4492426637742994,01
206520,Bethel city,-6.82534825059232,01
206520,Bethel city,-7.223653324314846,01
